Label,grouped,count,member,url1,url2,url3,,,,,,
कोविड आपातकालीन सेवा,कोविड आपातकालीन सेवा,1,Nitish,,,,,,,,,
बीमा का दावा कैसे करें,"बीमा का दावा कैसे करें,स्वास्थ्य केंद्र आस-पास के स्थलचिह्न",2,Nitish,,,,,,,,,
आंखों की जांच,आंखों की जांच,1,Nitish,,,,,,,,,
भारतीय टीकाकरण कार्ड,भारतीय टीकाकरण कार्ड,1,Nitish,,,,,,,,,
काउंसिलिंग अपॉइंटमेंट,"काउंसिलिंग अपॉइंटमेंट,कोविड पॉजिटिव",2,Nitish,,,,,,,,,
DPS फ़ोन नंबर,DPS फ़ोन नंबर,1,Nitish,,,,,,,,,
विद्यार्थी इनश्योरेंस फ़ीस,विद्यार्थी इनश्योरेंस फ़ीस,1,Nitish,,,,,,,,,
myshr पोर्टल,myshr पोर्टल,1,Nitish,,,,,,,,,
स्वास्थ्य हॉटलाइन,स्वास्थ्य हॉटलाइन,1,Nitish,,,,,,,,,
बुक टीबी पॉप टेस्ट,बुक टीबी पॉप टेस्ट,1,Nitish,,,,,,,,,
कोविशील्ड और फाइजर बूस्टर,कोविशील्ड और फाइजर बूस्टर,1,Nitish,,,,,,,,,
टीबी के परिणाम,टीबी के परिणाम,1,Nitish,,,,,,,,,
बीमा छूट का अनुरोध कब कर सकते हैं?,बीमा छूट का अनुरोध कब कर सकते हैं?,1,Nitish,,,,,,,,,
एक्सरे स्कैन,"एक्सरे स्कैन,डीपीएस इमरजेंसी नंबर,स्टूडेंट सेण्टर एड्रेस,काउन्सलिंग,MySHR लॉगिन विवरण,हेल्पलाइन का समय,मारपीट के बाद उठाए जाने वाले कदम,बीमा छूट योजना",8,,,,,,,,,,
एंबुलेंस सेवा,एंबुलेंस सेवा,1,,,,,,,,,,
कोविद 19 एक्सेप्टेड वैक्सीन,कोविद 19 एक्सेप्टेड वैक्सीन,1,,,,,,,,,,
इन्शुरन्स वेवर रिक्वायरमेंट्स,इन्शुरन्स वेवर रिक्वायरमेंट्स,1,,,,,,,,,,
एक्सेप्टेड इन्सुरांसस,एक्सेप्टेड इन्सुरांसस,1,,,,,,,,,,
एंटीजन टेस्ट,एंटीजन टेस्ट,1,,,,,,,,,,
कोविद आइसोलेशन,"कोविद आइसोलेशन,पॉप टेस्टिंग तिमिंग्स' पॉप टेस्टिंग लोकेशन,पॉप परीक्षण 3.0 समय",3,,,,,,,,,,
वैक्सीन पालिसी,"वैक्सीन पालिसी,नई स्टूडेंट इम्यूनाइजेशन रिक्वायरमेंट्स,MySHR लॉगिन विवरण",3,,,,,,,,,,
कोविद पॉजिटिव एक्सपोज़र,"कोविद पॉजिटिव एक्सपोज़र,स्नातक स्वास्थ्य आवश्यकताएँ",2,,,,,,,,,,
डिप्रेशन हेल्प,डिप्रेशन हेल्प,1,,,,,,,,,,
नई स्टूडेंट वक्सीनशन रेक्विरेमेटंस,नई स्टूडेंट वक्सीनशन रेक्विरेमेटंस,1,,,,,,,,,,
यूएससी स्टूडेंट हेल्थ ईमेल,यूएससी स्टूडेंट हेल्थ ईमेल,1,,,,,,,,,,
कोविद 19 वैक्सीन,कोविद 19 वैक्सीन,1,,,,,,,,,,
थेरेपी,थेरेपी,1,,,,,,,,,,
यूएससी स्टूडेंट हेल्थ तिमिंग्स,यूएससी स्टूडेंट हेल्थ तिमिंग्स,1,,,,,,,,,,
इन्शुरन्स फीस,"इन्शुरन्स फीस,वैक्सीन स्थान,डीपीएस क्षेत्र और देखने का समय",3,,,,,,,,,,
ट्रोजन चेक,ट्रोजन चेक,1,,,,,,,,,,
मेन्टल हेल्थ हेल्प,मेन्टल हेल्थ हेल्प,1,,,,,,,,,,
इन्शुरन्स रिक्वायरमेंट्स,इन्शुरन्स रिक्वायरमेंट्स,1,,,,,,,,,,
इमरजेंसी फ़ोन नंबर,"इमरजेंसी फ़ोन नंबर,myshr लॉगिन",2,,,,,,,,,,
यूएससी स्टूडेंट हेल्थ फ़ोन नंबर,यूएससी स्टूडेंट हेल्थ फ़ोन नंबर,1,,,,,,,,,,
घरेलु हिंसा,घरेलु हिंसा,1,,,,,,,,,,
स्वास्थ्य बीमा कार्यालय संपर्क,स्वास्थ्य बीमा कार्यालय संपर्क,1,,,,,,,,,,
फ्लू का टीका,"फ्लू का टीका,सेवाओं के लिए प्रतीक्षा समय",2,,,,,,,,,,
एक नियुक्ति करना,एक नियुक्ति करना,1,,,,,,,,,,
कोई कोविड टीका नहीं,कोई कोविड टीका नहीं,1,,,,,,,,,,
यूएससी के बाहर आपात स्थिति,यूएससी के बाहर आपात स्थिति,1,,,,,,,,,,
स्वास्थ्य रिकॉर्ड अपलोड करना,स्वास्थ्य रिकॉर्ड अपलोड करना,1,,,,,,,,,,
बीमा राशि,बीमा राशि,1,,,,,,,,,,
अस्पताल का समय,अस्पताल का समय,1,,,,,,,,,,
स्वास्थ्य केंद्र घंटे,स्वास्थ्य केंद्र घंटे,1,,,,,,,,,,
अभिविन्यास स्थान,अभिविन्यास स्थान,1,,,,,,,,,,
टीकाकरण के बिना चुनौतियां और समर्थन,टीकाकरण के बिना चुनौतियां और समर्थन,1,,,,,,,,,,
मानसिक स्वास्थ्य के लिए कार्यशाला,मानसिक स्वास्थ्य के लिए कार्यशाला,1,,,,,,,,,,
संबद्ध बीमा,संबद्ध बीमा,1,,,,,,,,,,
नए छात्र उन्मुखीकरण की तिथि,नए छात्र उन्मुखीकरण की तिथि,1,,,,,,,,,,
ट्रांसजेंडर देखभाल,ट्रांसजेंडर देखभाल,1,,,,,,,,,,
क्या हम सीधे डॉक्टरों से संपर्क कर सकते हैं?,क्या हम सीधे डॉक्टरों से संपर्क कर सकते हैं?,1,,,,,,,,,,
COVID वैक्सीन के प्रकार,COVID वैक्सीन के प्रकार,1,,,,,,,,,,
बीमा छूट,बीमा छूट,1,,,,,,,,,,
24 x 7 के लिए हॉटलाइन उपलब्ध है?,24 x 7 के लिए हॉटलाइन उपलब्ध है?,1,,,,,,,,,,
नीडलस्टिक हॉटलाइन,नीडलस्टिक हॉटलाइन,1,,,,,,,,,,
वैक्सीन क्लिनिक अनुसूची,वैक्सीन क्लिनिक अनुसूची,1,,,,,,,,,,
चिकित्सक विवरण,चिकित्सक विवरण,1,,,,,,,,,,
माता-पिता के लिए संसाधन,माता-पिता के लिए संसाधन,1,,,,,,,,,,
बीमा अवधि,बीमा अवधि,1,,,,,,,,,,
COVID परीक्षण कार्यक्रम विवरण,COVID परीक्षण कार्यक्रम विवरण,1,,,,,,,,,,
बीमा मेल आईडी,बीमा मेल आईडी,1,Akshay,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/our-services/insurance-plan/,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,,,,,,
आपात स्थिति के लिए बीमा कवरेज,"आपात स्थिति के लिए बीमा कवरेज,टीकाकरण की कुल लागत",2,Akshay,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-care-and-health-insurance/glossary-of-terms/,https://studenthealth.usc.edu/emergencies/,,,,,,
छात्रों के लिए नजदीकी अस्पताल,छात्रों के लिए नजदीकी अस्पताल,1,Akshay,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,,,,,,
सामान्य एलर्जी अक्सर पूछे जाने वाले प्रश्न,सामान्य एलर्जी अक्सर पूछे जाने वाले प्रश्न,1,Akshay,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/patient-rights/,,,,,,
नए छात्र संसाधन,नए छात्र संसाधन,1,Akshay,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/getting-started/introductory-videos/,https://studenthealth.usc.edu/new-thrive-zine-for-students/,,,,,,
साप्ताहिक पॉप परीक्षण स्थान,साप्ताहिक पॉप परीक्षण स्थान,1,Akshay,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/poptesting-questions/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/,,,,,,
अस्पताल हॉटलाइन,अस्पताल हॉटलाइन,1,Akshay,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/instructions-positive-test-results/,,,,,,
बीमा के लिए भुगतान योजना,बीमा के लिए भुगतान योजना,1,Akshay,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/waiver-requirements/,https://studenthealth.usc.edu/fees-deadlines/,,,,,,
यौन आक्रमण सहायता,यौन आक्रमण सहायता,1,Akshay,https://sites.google.com/usc.edu/rsvpclientservices/home,https://sites.google.com/usc.edu/rsvpclientservices/contact-us,https://sites.google.com/usc.edu/rsvpclientservices/seek-care/medical-information,,,,,,
बीमा में शामिल दंत चिकित्सा योजना?,बीमा में शामिल दंत चिकित्सा योजना?,1,Akshay,https://studenthealth.usc.edu/optional-student-dental-plan/,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/studying-abroad/for-students/,,,,,,
नए छात्रों के लिए यूएससी छात्र स्वास्थ्य योजना,नए छात्रों के लिए यूएससी छात्र स्वास्थ्य योजना,1,Akshay,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/health-professions/,,,,,,
सकारात्मक रोगी के संपर्क में आने के बाद निर्देश,सकारात्मक रोगी के संपर्क में आने के बाद निर्देश,1,Akshay,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/contact-tracing/,,,,,,
रोगी गोपनीयता प्रोटोकॉल,रोगी गोपनीयता प्रोटोकॉल,1,Akshay,https://studenthealth.usc.edu/patient-privacy-and-confidentiality/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/,https://studenthealth.usc.edu/advanced-directives/,,,,,,
MySHR लॉगिन विवरण,"MySHR लॉगिन विवरण,स्किनकेयर उपचार लागत",2,Akshay,https://studenthealth.usc.edu/myshr-troubleshooting/,https://studenthealth.usc.edu/myshr/,,,,,,,
तत्काल देखभाल,तत्काल देखभाल,1,Akshay,,,,,,,,,
छात्र स्वास्थ्य कार्यालय संपर्क विवरण,छात्र स्वास्थ्य कार्यालय संपर्क विवरण,1,Akshay,,,,,,,,,
छात्र स्वास्थ्य बीमा कार्यालय संपर्क,छात्र स्वास्थ्य बीमा कार्यालय संपर्क,1,Akshay,,,,,,,,,
टेस्ट की तैयारी,टेस्ट की तैयारी,1,Akshay,,,,,,,,,
यात्रा पर यात्रा बीमा लागत,"यात्रा पर यात्रा बीमा लागत,MySHR . पर शुरुआत करना",2,Akshay,,,,,,,,,
फर्स्ट डिग्री बर्न्स प्राप्त होने पर आपातकालीन युक्तियाँ,फर्स्ट डिग्री बर्न्स प्राप्त होने पर आपातकालीन युक्तियाँ,1,Akshay,,,,,,,,,
मानसिक स्वास्थ्य सेवाएं,मानसिक स्वास्थ्य सेवाएं,1,Akshay,,,,,,,,,
अस्पताल सहायता के लिए मेल पता,अस्पताल सहायता के लिए मेल पता,1,Akshay,,,,,,,,,
