group_list,url1,url2,url3
कोविड आपातकालीन हेल्पलाइन,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/
आपातकालीन फोन नंबर,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/emergencies/,
वैक्सीन आवश्यकता,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/
फ़ोन नंबर,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/
कोविड परीक्षण स्थल,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/list-of-accepted-vaccines/,https://coronavirus.usc.edu/faq-covid-19-vaccine-policy/
माता-पिता के लिए लॉगिन पोर्टल,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/list-of-accepted-vaccines/,https://coronavirus.usc.edu/faq-covid-19-vaccine-policy/
यौन जागरूकता,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/list-of-accepted-vaccines/,https://coronavirus.usc.edu/faq-covid-19-vaccine-policy/
इमरजेंसी हेल्पलाइन,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,
इमरजेंसी फ़ोन नंबर,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,
स्वास्थ्य शुल्क,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/emergencies/,
बीमा हेल्पलाइन,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/our-services/insurance-plan/,
स्प्रिंग 2022 विद्यार्थी वैक्सीन,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/
विद्यार्थी  स्वास्थ्य ईमेल या फोन नंबर,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/upc-student-health-center/,
Depression ke liye support group,https://studenthealth.usc.edu/counseling/,https://sites.google.com/usc.edu/bipocmentalhealth,https://sites.google.com/usc.edu/bipocmentalhealth/making-an-appointment
Fall 23 insurance ke liye kitne paise lagenge,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/our-services/insurance-plan/
यू.एस.सी  स्टूडेंट हेल्थ इंश्योरेंस,https://studenthealth.usc.edu/studying-abroad/for-students/,https://studenthealth.usc.edu/studying-abroad/,https://studenthealth.usc.edu/studying-abroad/for-program-coordinators/
यात्रा पर यात्रा बीमा लागत,https://studenthealth.usc.edu/studying-abroad/for-students/,https://studenthealth.usc.edu/studying-abroad/,https://studenthealth.usc.edu/studying-abroad/for-program-coordinators/
vaccination ka appointment kaise le,https://studenthealth.usc.edu/make-an-appointment/,https://studenthealth.usc.edu/questions-about-student-health-sign-up-for-for-a-chat/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/
What to do on drug overdose (Jyada nasha karne pe kya kare),https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/counseling/,
परामर्श नियुक्ति,https://studenthealth.usc.edu/make-an-appointment/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/mySHR/
छात्र टीकाकरण आवश्यकताएँ,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
पॉप परीक्षण स्थान,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/
यू.एस.सी  स्वास्थ्य केंद्र फोन नंबर,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/emergencies/,
आपातकालीन,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
मानसिक स्वास्थ्य संपर्क नंबर,https://studenthealth.usc.edu/counseling/,https://sites.google.com/usc.edu/bipocmentalhealth,https://sites.google.com/usc.edu/bipocmentalhealth/making-an-appointment
बूस्टर लगवाना जरूरी है?,https://studenthealth.usc.edu/vaccine-update-for-campus-influenza-and-covid-19-boosters/,https://studenthealth.usc.edu/list-of-accepted-vaccines/,https://coronavirus.usc.edu/2021/09/28/vaccine-update-for-campus-influenza-and-covid-19-boosters/
कोविड आपातकालीन सेवा,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,https://studenthealth.usc.edu/emergencies/,
बीमा का दावा कैसे करें,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/waiver-requirements/,
स्वास्थ्य केंद्र आस-पास के स्थलचिह्न,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/vaccine-clinic/,
आंखों की जांच,https://studenthealth.usc.edu/note-on-the-included-vision-plan/,,
काउंसिलिंग अपॉइंटमेंट,https://studenthealth.usc.edu/make-an-appointment/,https://studenthealth.usc.edu/questions-about-student-health-sign-up-for-for-a-chat/,https://studenthealth.usc.edu/counseling/
कोविड पॉजिटिव,https://studenthealth.usc.edu/instructions-positive-test-results/,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,
DPS फ़ोन नंबर,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,
डीपीएस इमरजेंसी नंबर,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,
विद्यार्थी इनश्योरेंस फ़ीस,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-care-and-health-insurance/
myshr पोर्टल,https://studenthealth.usc.edu/myshr/,,
MySHR लॉगिन विवरण,https://studenthealth.usc.edu/myshr/,,
स्वास्थ्य हॉटलाइन,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
बुक टीबी पॉप टेस्ट,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/
कोविशील्ड और फाइजर बूस्टर,https://studenthealth.usc.edu/list-of-accepted-vaccines/,,
टीबी के परिणाम,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/
बीमा छूट का अनुरोध कब कर सकते हैं?,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/waiver-requirements/,
एंबुलेंस सेवा,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/emergencies/,
कोविद 19 एक्सेप्टेड वैक्सीन,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/list-of-accepted-vaccines/,https://coronavirus.usc.edu/faq-covid-19-vaccine-policy/
काउन्सलिंग,https://studenthealth.usc.edu/counseling/,,
इन्शुरन्स वेवर रिक्वायरमेंट्स,https://studenthealth.usc.edu/waiver-requirements/,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/fees-and-insurance/
इन्शुरन्स रिक्वायरमेंट्स,https://studenthealth.usc.edu/waiver-requirements/,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/fees-and-insurance/
इन्शुरन्स फीस,https://studenthealth.usc.edu/waiver-requirements/,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/fees-and-insurance/
एक्सेप्टेड इन्सुरांसस,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/health-care-and-health-insurance/bringing-an-existing-insurance-plan-to-campus/,
एंटीजन टेस्ट,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/,,
कोविद आइसोलेशन,https://studenthealth.usc.edu/instructions-positive-test-results/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,
पॉप टेस्टिंग तिमिंग्स' पॉप टेस्टिंग लोकेशन,https://studenthealth.usc.edu/instructions-positive-test-results/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,
पॉप परीक्षण 3.0 समय,https://studenthealth.usc.edu/instructions-positive-test-results/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,
वैक्सीन पालिसी,https://policy.usc.edu/covid-19-vaccination-program/,,
कोविद पॉजिटिव एक्सपोज़र,https://studenthealth.usc.edu/instructions-positive-test-results/,,
स्नातक स्वास्थ्य आवश्यकताएँ,https://studenthealth.usc.edu/instructions-positive-test-results/,,
डिप्रेशन हेल्प,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/thriving-with-depression-and-anxiety-2/,
नई स्टूडेंट वक्सीनशन रेक्विरेमेटंस,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/getting-started/,
नई स्टूडेंट इम्यूनाइजेशन रिक्वायरमेंट्स,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/getting-started/,
यूएससी स्टूडेंट हेल्थ ईमेल,https://studenthealth.usc.edu/questions-about-student-health-sign-up-for-for-a-chat/,https://studenthealth.usc.edu/mySHR/,https://studenthealth.usc.edu/
कोविद 19 वैक्सीन,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/list-of-accepted-vaccines/,https://studenthealth.usc.edu/vaccine-clinic/
थेरेपी,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/drop-in-workshops-and-group-therapy-engemann/,https://studenthealth.usc.edu/drop-in-workshops-and-group-therapy-eric-cohen/
यूएससी स्टूडेंट हेल्थ तिमिंग्स,https://studenthealth.usc.edu/hours/,,
वैक्सीन स्थान,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/vaccine-clinic/,
ट्रोजन चेक,https://studenthealth.usc.edu/trojan-check-no-longer-required-as-of-4-4-22/,https://studenthealth.usc.edu/myshr-troubleshooting/,
मेन्टल हेल्थ हेल्प,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/workshops-and-programs/,https://studenthealth.usc.edu/counseling/group-counseling/
यूएससी स्टूडेंट हेल्थ फ़ोन नंबर,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/,
स्वास्थ्य बीमा कार्यालय संपर्क,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/our-services/insurance-plan/,
फ्लू का टीका,https://studenthealth.usc.edu/flu-vaccine-requirement-for-students/,https://studenthealth.usc.edu/vaccine-update-for-campus-influenza-and-covid-19-boosters/,
एक नियुक्ति करना,https://studenthealth.usc.edu/myshr/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,
स्वास्थ्य रिकॉर्ड अपलोड करना,https://studenthealth.usc.edu/myshr/,,
बीमा राशि,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,
अस्पताल का समय,https://studenthealth.usc.edu/hours/,,
स्वास्थ्य केंद्र घंटे,https://studenthealth.usc.edu/hours/,,
अभिविन्यास स्थान,https://studenthealth.usc.edu/getting-started/introductory-videos/,https://studenthealth.usc.edu/getting-started/,
टीकाकरण के बिना चुनौतियां और समर्थन,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://coronavirus.usc.edu/faq-covid-19-vaccine-policy/,
मानसिक स्वास्थ्य के लिए कार्यशाला,https://studenthealth.usc.edu/counseling/workshop-requests/,https://studenthealth.usc.edu/counseling/community-centered-services-embedded-counselors-and-liaisons/,https://studenthealth.usc.edu/counseling/group-counseling/
संबद्ध बीमा,https://studenthealth.usc.edu/fees-and-insurance//,https://studenthealth.usc.edu/health-care-and-health-insurance/bringing-an-existing-insurance-plan-to-campus/,
नए छात्र उन्मुखीकरण की तिथि,https://studenthealth.usc.edu/getting-started/,https://studenthealth.usc.edu/getting-started/introductory-videos/,
ट्रांसजेंडर देखभाल,https://studenthealth.usc.edu/transgender-care/,,
क्या हम सीधे डॉक्टरों से संपर्क कर सकते हैं?,https://studenthealth.usc.edu/meet-your-providers/,https://studenthealth.usc.edu/your-medical-providers/,https://studenthealth.usc.edu/meet-your-counseling-and-mental-health-providers/
COVID वैक्सीन के प्रकार,https://studenthealth.usc.edu/list-of-accepted-vaccines/,,
बीमा छूट,https://studenthealth.usc.edu/fees-and-insurance//,https://studenthealth.usc.edu/health-care-and-health-insurance/bringing-an-existing-insurance-plan-to-campus/,
बीमा छूट योजना,https://studenthealth.usc.edu/fees-and-insurance//,https://studenthealth.usc.edu/health-care-and-health-insurance/bringing-an-existing-insurance-plan-to-campus/,
24 x 7 के लिए हॉटलाइन उपलब्ध है?,https://studenthealth.usc.edu/emergencies/,,
नीडलस्टिक हॉटलाइन,https://studenthealth.usc.edu/bloodborne-pathogen-exposure/,https://studenthealth.usc.edu/emergencies/,
वैक्सीन क्लिनिक अनुसूची,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/hours/,
चिकित्सक विवरण,https://studenthealth.usc.edu/meet-your-providers/,https://studenthealth.usc.edu/your-medical-providers/,https://studenthealth.usc.edu/meet-your-counseling-and-mental-health-providers/
माता-पिता के लिए संसाधन,https://studenthealth.usc.edu/getting-started/parents/,,
बीमा अवधि,https://studenthealth.usc.edu/fees-and-insurance//,https://studenthealth.usc.edu/health-care-and-health-insurance/bringing-an-existing-insurance-plan-to-campus/,
COVID परीक्षण कार्यक्रम विवरण,https://studenthealth.usc.edu/covid19-testing/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/,https://studenthealth.usc.edu/pop-testing-hours-and-locations//
बीमा मेल आईडी,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/our-services/insurance-plan/,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/
आपात स्थिति के लिए बीमा कवरेज,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-care-and-health-insurance/glossary-of-terms/,https://studenthealth.usc.edu/emergencies/
टीकाकरण की कुल लागत,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/list-of-accepted-vaccines/
छात्रों के लिए नजदीकी अस्पताल,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/
सामान्य एलर्जी अक्सर पूछे जाने वाले प्रश्न,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/patient-rights/
नए छात्र संसाधन,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/getting-started/introductory-videos/,https://studenthealth.usc.edu/new-thrive-zine-for-students/
साप्ताहिक पॉप परीक्षण स्थान,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/poptesting-questions/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/
अस्पताल हॉटलाइन,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/bloodborne-pathogen-exposure/,https://studenthealth.usc.edu/instructions-positive-test-results/
बीमा के लिए भुगतान योजना,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/waiver-requirements/,https://studenthealth.usc.edu/fees-deadlines/
यौन आक्रमण सहायता,https://sites.google.com/usc.edu/rsvpclientservices/home,https://sites.google.com/usc.edu/rsvpclientservices/contact-us,https://sites.google.com/usc.edu/rsvpclientservices/seek-care/medical-information
बीमा में शामिल दंत चिकित्सा योजना?,https://studenthealth.usc.edu/optional-student-dental-plan/,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/studying-abroad/for-students/
नए छात्रों के लिए यूएससी छात्र स्वास्थ्य योजना,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/health-professions/
सकारात्मक रोगी के संपर्क में आने के बाद निर्देश,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,https://studenthealth.usc.edu/bloodborne-pathogen-exposure/,https://studenthealth.usc.edu/contact-tracing/
रोगी गोपनीयता प्रोटोकॉल,https://studenthealth.usc.edu/patient-privacy-and-confidentiality/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/,https://studenthealth.usc.edu/advanced-directives/
MySHR लॉगिन विवरण,https://studenthealth.usc.edu/myshr-troubleshooting/,https://studenthealth.usc.edu/myshr/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/
स्किनकेयर उपचार लागत,https://studenthealth.usc.edu/myshr-troubleshooting/,https://studenthealth.usc.edu/myshr/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/
MySHR लॉगिन विवरण,https://studenthealth.usc.edu/myshr-troubleshooting/,https://studenthealth.usc.edu/myshr/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/
myshr लॉगिन,https://studenthealth.usc.edu/myshr-troubleshooting/,https://studenthealth.usc.edu/myshr/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/
तत्काल देखभाल,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/medical-care/,https://sites.google.com/usc.edu/rsvpclientservices/seek-care/medical-information
छात्र स्वास्थ्य कार्यालय संपर्क विवरण,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/hours/
छात्र स्वास्थ्य बीमा कार्यालय संपर्क,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/health-care-and-health-insurance/,https://studenthealth.usc.edu/optional-student-dental-plan/
टेस्ट की तैयारी,https://studenthealth.usc.edu/medical-care/patient-education/,https://studenthealth.usc.edu/instructions-preparing-for-an-antigen-test/,https://studenthealth.usc.edu/spring-2021-testing-requirements/
यात्रा पर यात्रा बीमा लागत,https://studenthealth.usc.edu/studying-abroad/,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/studying-abroad/for-students/
MySHR . पर शुरुआत करना,https://studenthealth.usc.edu/myshr-troubleshooting/,https://studenthealth.usc.edu/myshr/,https://studenthealth.usc.edu/information-privacy-and-open-notes-in-myshr/
फर्स्ट डिग्री बर्न्स प्राप्त होने पर आपातकालीन युक्तियाँ,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sun-safety/,https://studenthealth.usc.edu/medical-care/
मानसिक स्वास्थ्य सेवाएं,https://studenthealth.usc.edu/counseling/,https://sites.google.com/usc.edu/bipocmentalhealth,https://studenthealth.usc.edu/mentalwellbeing/
अस्पताल सहायता के लिए मेल पता,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/,https://studenthealth.usc.edu/counseling/workshop-requests/
